object_ID x y z qx qy qz qw
011 0.000000 0.000000 0.000000 0.000000 0.000000 0.438286 0.898835
024 312.197876 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
025 0.000000 329.183716 0.000000 0.000000 0.000000 0.000000 1.000000
044 337.886230 152.262726 0.000000 0.000000 0.000000 0.324739 0.945804
051 208.858704 457.968506 0.000000 0.000000 0.000000 0.000000 1.000000
Camera 2798.394287 0.000197 1748.996460 0.000000 0.000000 0.000000 1.000000
Grid 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
Light 8967.739258 2211.998779 12988.496094 0.000000 0.000000 0.000000 1.000000
