image x y z rx ry rz 
0.exr 0.937043 0.000000 1.171303 0.674741 0.000000 1.570796
1.exr 0.865714 0.358591 1.171303 0.674741 0.000000 1.963496
2.exr 0.662589 0.662589 1.171303 0.674741 0.000000 2.356194
3.exr 0.358590 0.865714 1.171303 0.674741 0.000000 2.748894
4.exr 0.000000 0.937042 1.171303 0.674741 -0.000000 -3.141593
5.exr -0.358590 0.865714 1.171303 0.674741 -0.000000 -2.748894
6.exr -0.662589 0.662589 1.171303 0.674741 -0.000000 -2.356194
7.exr -0.865714 0.358591 1.171303 0.674741 -0.000000 -1.963496
